Type Objet,Commune,geo_shape,geo,Adresse
FONTAINE_ARCEAU,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.382372589597416, 48.87060067919588], ""type"": ""Point""}","48.87060067919588, 2.382372589597416",36F  RUE DE PALI KAO
FONTAINE_BOIS,PARIS 12EME ARRONDISSEMENT,"{""coordinates"": [2.441966774357324, 48.822341399289705], ""type"": ""Point""}","48.822341399289705, 2.441966774357324",ROUTE DE LA DEMI LUNE
FONTAINE_BOIS,PARIS 12EME ARRONDISSEMENT,"{""coordinates"": [2.431567204010059, 48.82287032559464], ""type"": ""Point""}","48.82287032559464, 2.431567204010059",ROUTE DU RUISSEAU
FONTAINE_BOIS,PARIS 12EME ARRONDISSEMENT,"{""coordinates"": [2.4304712937157023, 48.83575138156564], ""type"": ""Point""}","48.83575138156564, 2.4304712937157023",ROUTE DE LA TOURELLE
FONTAINE_BOIS,PARIS 12EME ARRONDISSEMENT,"{""coordinates"": [2.4241068423095444, 48.841918919290094], ""type"": ""Point""}","48.841918919290094, 2.4241068423095444",ROUTE DE LA TOURELLE
FONTAINE_BOIS,PARIS 18EME ARRONDISSEMENT,"{""coordinates"": [2.3532256313510436, 48.89497905583233], ""type"": ""Point""}","48.89497905583233, 2.3532256313510436",122  RUE DES POISSONNIERS
FONTAINE_BOIS,PARIS 10EME ARRONDISSEMENT,"{""coordinates"": [2.3682282990589796, 48.87770693581463], ""type"": ""Point""}","48.87770693581463, 2.3682282990589796",22F  RUE BOY ZELENSKI
FONTAINE_BOIS,PARIS 16EME ARRONDISSEMENT,"{""coordinates"": [2.2446415681385727, 48.85851643031101], ""type"": ""Point""}","48.85851643031101, 2.2446415681385727",AVENUE DE L HIPPODROME
FONTAINE_BOIS,PARIS 14EME ARRONDISSEMENT,"{""coordinates"": [2.3067362476619, 48.82871592364087], ""type"": ""Point""}","48.82871592364087, 2.3067362476619",4F  RUE PATURLE
FONTAINE_BOIS,PARIS 18EME ARRONDISSEMENT,"{""coordinates"": [2.366383873934529, 48.886632273831154], ""type"": ""Point""}","48.886632273831154, 2.366383873934529",44F  RUE D AUBERVILLIERS
FONTAINE_BOIS,PARIS 6EME ARRONDISSEMENT,"{""coordinates"": [2.336912616691828, 48.84240891892341], ""type"": ""Point""}","48.84240891892341, 2.336912616691828",1B JARDIN MARCO POLO
FONTAINE_BOIS,PARIS 7EME ARRONDISSEMENT,"{""coordinates"": [2.320471229052931, 48.85140521922068], ""type"": ""Point""}","48.85140521922068, 2.320471229052931",29F RUE DE BABYLONE
FONTAINE_BOIS,PARIS 7EME ARRONDISSEMENT,"{""coordinates"": [2.2968312712351335, 48.85798984496949], ""type"": ""Point""}","48.85798984496949, 2.2968312712351335",ALLEE MAURICE BAUMONT
FONTAINE_BOIS,PARIS 7EME ARRONDISSEMENT,"{""coordinates"": [2.301772156580668, 48.852548798189126], ""type"": ""Point""}","48.852548798189126, 2.301772156580668",PLACE JOFFRE
FONTAINE_BOIS,PARIS 13EME ARRONDISSEMENT,"{""coordinates"": [2.3678358695177906, 48.82312124525608], ""type"": ""Point""}","48.82312124525608, 2.3678358695177906",112  RUE REGNAULT
